,balls_before,strikes_before,outs_before,num_runners_on,run_top_before,run_bot_before,run_total_before,score_diff_home,score_diff_pitcher_team,home_win_expectancy,away_win_expectancy,li,asof_pitcher_n,asof_pitcher_success_rate,asof_pitcher_reverse_rate,asof_pitcher_middle_rate,asof_pitcher_ball_rate,asof_pitcher_strike_rate,asof_pitcher_prev1_game_success_rate,asof_pitcher_prev3_game_success_rate,asof_pitcher_prev5_game_success_rate,asof_pitcher_prev1_game_middle_rate,asof_pitcher_prev3_game_middle_rate,asof_pitcher_prev5_game_middle_rate,asof_batter_n,asof_batter_success_rate,asof_batter_middle_rate,asof_pitcher_fastball_rate,asof_pitcher_breaking_rate,asof_pitcher_offspeed_rate,season,game_month,game_dayofweek,inning,top_bottom,game_type,pitcher_hand,batter_hand,runner_on_1b,runner_on_2b,runner_on_3b
balls_before,1.0,0.3755596751473412,0.014452737560535191,0.00040087235972182186,0.0013139738386363825,0.005008029184041585,0.003929067422913631,0.002889652737713758,-0.006871033121251877,0.002738092829136717,-0.0027383844256515335,0.0039265366228475335,-0.017506453785491993,-0.018261313162519655,0.009672168456708182,-0.010920323826199507,0.08124525932576493,-0.0475895464993765,-0.008303296896897468,-0.01175272189240514,-0.012754676428665785,-0.002345442632719549,-0.0032928962212762612,-0.004618078591613355,0.01630680627653211,-0.005931840369026653,-0.006504625318546478,0.011639764901751115,0.004734320742398411,-0.015363774465327083,4.267732505966801e-05,-0.0005946647077843906,0.0008946237366975881,0.0035189864477152564,0.0021697181082842346,0.0026051912187028464,-0.005450058785208628,0.014604207303979226,-0.03825822999307276,0.0325771969453949,0.016395240218459117
strikes_before,0.3755596751473412,1.0,0.001293029333436038,-0.02629632255690004,-0.006025226554983641,-0.007665609380195074,-0.008613198620927591,-0.0010512378730497037,0.012141043734313618,-0.0014424077850634903,0.0014443250216040354,-0.0037092837047207525,0.013157145983484768,0.009202782849694127,-0.005065161704096106,0.006720579767265119,-0.0426928246815865,0.06920470155518606,0.002827667382639896,0.005376875580087503,0.005822427910900004,0.0032046825804494215,0.004356130558040784,0.004744823665527331,0.0008149075313805361,-0.000688985326823901,0.005150214460334555,-0.008641823801002427,0.00032550906357831533,0.007571531636690199,0.005505889818436908,-0.0005842639856696688,-0.0009909352863010851,-0.004762344054561508,-0.0019192653537498984,-0.01545428565874917,0.002709372736695667,-0.0006878420856073224,-0.04302855446823149,0.0024791063814742467,-0.007672808941745412
outs_before,0.014452737560535191,0.001293029333436038,1.0,0.24464538839186867,0.030258715838992877,0.029660612285270126,0.03782429737622999,-0.001766638949731531,-0.05332358564279243,-0.0016618953550176674,0.0016320002710471968,-0.062220763844727654,-0.000979498421238434,0.0009859793104181858,-0.0015999346439500494,0.0021253095948990997,-0.008758336412639421,0.003912005927287886,-0.0002585699223516726,-0.0012135382953900693,-0.001823011909911808,0.0030212034453955643,0.003679931111999086,0.0032789925094420984,-0.00411056075992685,0.004791714503663027,-0.0033463429841016985,-0.001282958509517876,-0.0006296217304526054,0.0018010747483809316,0.002536489651478948,0.0009069026816631321,0.0026638979098089523,0.0021290160143845366,-0.002202534058494668,-0.0011617195307634615,0.005442879612150384,-0.022156661774751587,0.1524392389794722,0.191273968821811,0.1664495376837095
num_runners_on,0.00040087235972182186,-0.02629632255690004,0.24464538839186867,1.0,0.054893299751677546,0.05726137325187344,0.0707407600643473,-0.0004513873566028266,-0.06756536575221114,-0.00016131659321756188,0.00011908215882293971,0.4617895424749722,-0.038080803980223336,-0.021872824788715724,0.021013274328038855,-0.013072401357310847,0.0802391655809751,-0.07112123818197633,-0.011914820007212872,-0.02071321391739112,-0.021083926815675575,-0.003962510255417076,-0.004402110453409355,-0.005748594209564156,-0.0071373227767753036,0.009332459689294121,-0.006445087196610773,0.02849957795855949,0.0033376439856471116,-0.029374920913778437,0.00815906748502987,-0.005016886624914937,0.0018631742149812815,0.01777992181792291,0.008074752278245258,0.025407679394201015,0.003633657585908205,-0.020307429839710938,0.745711093901621,0.7050635210893732,0.5950839936151128
run_top_before,0.0013139738386363825,-0.006025226554983641,0.030258715838992877,0.054893299751677546,1.0,0.25491152875507206,0.8042016291353369,-0.6367599044733083,0.033411157890857135,-0.5777327115959212,0.5777276501593627,-0.12601098686147347,-0.13723127842869443,-0.02422740500950256,0.028071488893741017,-0.021009831265550023,0.08590435222300691,-0.07598188656681941,-0.02770494742531872,-0.03584906445748849,-0.03717847731262753,0.0012847886516484056,0.003825444881222635,0.0019012188963075792,-0.04069450553642886,0.021208714636572396,-0.0008333899435616413,0.10027340122900937,-0.01772512963291112,-0.07392559143458804,0.009173645263171317,0.0013350964902646926,0.0027089916527565086,0.49306382712182684,0.03732980873743188,0.02406703319358718,0.034366835556802255,-0.010544020211435207,0.036478907505558406,0.04036599260043921,0.03724068145477649
run_bot_before,0.005008029184041585,-0.007665609380195074,0.029660612285270126,0.05726137325187344,0.25491152875507206,1.0,0.7797219050318527,0.583272183771328,0.025984086008595603,0.5260531746784013,-0.5260616140131424,-0.1260158953570656,-0.12980889772839171,-0.0323220159195005,0.03541384885336124,-0.01199797661899359,0.08787474618102267,-0.07377183258164519,-0.028730719307682295,-0.04066004689059141,-0.044064633856150275,0.010657617053772944,0.012985463925691661,0.011173038261505785,-0.042284836414913166,0.015944863091834925,0.0018412637637323682,0.09891700671627987,-0.013368437059238576,-0.07703684212771054,0.02417017592491147,-0.005961360885587208,0.011172612106365252,0.48578413591674857,0.01608982949789228,0.021356629529567326,0.035941140973493525,-0.012789440336346729,0.03700270195865384,0.04514558149613247,0.036462356591174756
run_total_before,0.003929067422913631,-0.008613198620927591,0.03782429737622999,0.0707407600643473,0.8042016291353369,0.7797219050318527,1.0,-0.05379749884120237,0.03760573536369908,-0.05074675045310117,0.05073828574518437,-0.15905149425480633,-0.1686482407516965,-0.035554290261230546,0.03994372238586247,-0.020978243013029176,0.10963565087519087,-0.09454234353473111,-0.03556716144616721,-0.048165041461556826,-0.05111775914814116,0.007384784735238445,0.010457696864832179,0.008099986242405943,-0.05234128480306291,0.023533655662104663,0.000592247456254394,0.12572669362515376,-0.019693872384886117,-0.09521787413005421,0.02079658890325807,-0.002799726126661833,0.008621502219363574,0.6178604746597365,0.034061502124424436,0.028710931523143687,0.044344779586099226,-0.014688620715168616,0.04636488386798024,0.05388695928340046,0.0465260155972904
score_diff_home,0.002889652737713758,-0.0010512378730497037,-0.001766638949731531,-0.0004513873566028266,-0.6367599044733083,0.583272183771328,-0.05379749884120237,1.0,-0.007346457394120813,0.9047888098222269,-0.9047912876427276,0.005367014741046845,0.011767810729532133,-0.0054243486494646095,0.004660883711223843,0.008080670536191176,-0.002083898675248326,0.004995487595182605,0.00029416118393248993,-0.002406172120870825,-0.004012740042694157,0.007446202023192732,0.007173736780182001,0.007340595995681147,0.0004663721572994847,-0.005099160688621883,0.0021683453470922897,-0.005348322728293705,0.004228545049322061,0.000664400774491173,0.011567301562925868,-0.0058751363248530425,0.006633467922960663,-0.026820574274073188,-0.01852796096933269,-0.00318709117248713,-0.0002094485443314813,-0.0013410943863605318,-0.0011371533542434398,0.00209075993972547,-0.002207938549325033
score_diff_pitcher_team,-0.006871033121251877,0.012141043734313618,-0.05332358564279243,-0.06756536575221114,0.033411157890857135,0.025984086008595603,0.03760573536369908,-0.007346457394120813,1.0,-0.0024079621719987256,0.0024048880450499048,0.14153388740372555,0.06928080830579439,0.02249082302815843,-0.022588274127586256,0.019392259008420388,-0.10854805280376306,0.12654666755660893,0.034602145254348335,0.037643960555631906,0.03442890068159986,-0.0018929593951580218,0.0037598246373563714,0.010968698836925984,-0.020473709618492954,0.01265832975460274,0.0015600006560820123,-0.025070191725049193,-0.010138547283482862,0.033032785943070346,0.0016786466657980855,-0.001027289180865699,0.00018819119162630116,0.04752937806413196,0.05817137361343812,0.0028799044067319207,-0.00836172635259409,-0.001787425804708586,-0.024352988709731967,-0.06441687344552759,-0.05768898419126843
home_win_expectancy,0.002738092829136717,-0.0014424077850634903,-0.0016618953550176674,-0.00016131659321756188,-0.5777327115959212,0.5260531746784013,-0.05074675045310117,0.9047888098222269,-0.0024079621719987256,1.0,-0.9999997842873314,0.0008877020808274194,0.013817434166849088,-0.0034820614006886206,0.00017168718391081066,0.008977255922632451,-0.002968799036383734,0.0035715713989110808,0.003821175358712563,-0.0012715000243908139,-0.0016323661550774402,0.007086940250415757,0.005869092723285007,0.0049902588012925905,-0.001427416000490194,-0.0012060835649801908,0.000876102635786537,-0.007129476181193787,0.005584161403106679,0.0009382129950123615,0.006953216044397068,-0.003870928638476048,0.00476514215794482,-0.042471640460210035,0.045057508549388885,4.085782838573014e-05,-0.0011201640635522857,-0.0011802927326987824,-0.0009669601178055265,0.002170974362558099,-0.001802808962566049
