pitcher_id,pitcher_trackman_id,rel_gap
24461,641855,422.40028409081356
24313,571616,305.3014903337355
23673,69550,241.15762480170517
24017,51109,117.39250401963491
24494,667498,98.00510190801293
24424,676641,64.79085302082906
23766,69934,59.43155319265808
24486,54103,46.151923036857305
22305,61891,39.319206502675
24346,53101,35.0
23858,50107,28.544023300487208
24052,592499,26.92582403567252
24097,595001,26.92582403567252
24110,621141,23.170171743873475
22985,65703,22.090722034374522
24585,51996,20.09975124224178
24370,572143,17.0
23476,68050,14.142135623730951
23349,67504,12.083045973594572
24440,668948,11.056841902682558
21170,71837,10.0
23116,65464,10.0
23267,65894,9.86822067666386
21095,71118,8.46839901589301
21571,74838,8.0
24619,623454,7.75098371160232
24305,570240,7.035372791851684
23670,64501,6.082762530298219
22345,61208,6.082762530298219
22332,61700,6.0
22978,74167,5.927875506251487
24344,53139,5.48277273274972
24085,641149,4.883076713721038
23849,594902,4.837587835202466
24394,53615,4.720153254455275
24223,642098,4.499812293461772
22763,62908,4.47213595499958
23348,493193,4.47213595499958
22729,65048,4.030406563387769
23915,592468,3.976847616502514
22908,65516,3.945171020589511
24485,54149,3.7632192411532204
24465,658792,3.454773543469425
22205,60336,3.3457272891867924
22435,62869,3.247277114626354
24089,51301,3.2461842416452042
23897,573185,3.2371939886128036
23898,592716,3.1744145756872952
24459,645307,3.1716007160415076
24239,467100,3.1663826777769857
24222,656212,3.165869106579535
23880,571527,3.1251904708919374
22525,63248,3.107646254666754
23491,62637,3.1024992192379
20938,70425,2.879067344632104
22278,61145,2.8744914943201927
22419,62528,2.744200142586222
24146,543557,2.7025334792217426
22592,76118,2.680691190189753
24011,51154,2.615905160402821
24310,663399,2.576466139234399
24327,607200,2.529683904352976
24626,680802,2.47183239328872
22458,464400,2.4711098108699376
23634,69134,2.435076000553889
22741,65060,2.324851107964754
24460,606273,2.3226366173026722
22996,74857,2.3214723194555424
24622,54843,2.301046685189562
23767,69940,2.2663174406315143
23035,65933,2.26484098725941
23414,67703,2.242638988110659
22738,63543,2.2341823551173943
22651,64350,2.22894938037563
23935,50705,2.2230121327394383
24469,54561,2.1965718891190256
21441,73211,2.189638614741926
22708,65764,2.1728587470443035
23782,571035,2.102153279055696
21936,77318,2.066445189500045
23312,67828,2.052248552228489
24147,543208,2.030322573226183
23843,543184,2.0302173279725033
21955,77829,2.0275796916942803
23873,458913,2.0
23893,50556,1.9951388172314537
22389,62363,1.9830131542466172
23853,50157,1.9701983415648188
21940,77211,1.9271124933028216
23696,518445,1.923210589264162
23411,502010,1.9220648257813173
23903,50859,1.9045145869372497
24444,53892,1.9016790649687307
21994,60559,1.9005554094240802
23424,68159,1.8991647469496875
21795,76455,1.8991056354251061
23518,68419,1.897057716082914
23418,65109,1.870953042933945
23848,75421,1.8601679025733635
